Account,Period,Transaction Date,Amount,Description,LA1,LA2,LA3,LA4,LA5
200119,007/2020,31/10/2020,644.79,LH022358_Swainson Road,MX0034BC1,,3400,MX,C010
200119,007/2020,31/10/2020,81.76,LH022364_Ruislip Road East,SO0042BA1,,1000081,SO,C010
200119,007/2020,31/10/2020,100.74,LH022367_Lakeside Road,LH0838BA1,,F006,LH,C010
200119,007/2020,31/10/2020,25.05,LH022368_Lakeside Road,LH0845BA1,,F013,LH,C010
200119,007/2020,31/10/2020,9.69,LH022369_Lakeside Road,LH0841BA1,,F009,LH,C010
200119,007/2020,31/10/2020,43.62,LH022370_Lakeside Road,LH0843BA1,,F011,LH,C010
200106,007/2020,31/10/2020,123.18,LH022375_Swainson Road,MX0034BC1,,3400,MX,C010
200106,007/2020,31/10/2020,57.72,LH022382_Avonmore Road,LH0837BA1,,F001,LH,C010
200106,007/2020,31/10/2020,37.66,LH022392_Swainson Road,MX0034BC1,,3400,MX,C010
200119,007/2020,31/10/2020,51.69,LH022399_Lillie Road,MX0412BA1,,3740,MX,C010
200106,007/2020,31/10/2020,163.01,LH022404_Swainson Road,MX0034BC1,,3400,MX,C010
210200,007/2020,31/10/2020,18.02,MX029468_Haydock Avenue,MX0393BA1,,3522,MX,C010
210200,007/2020,31/10/2020,91.15,MX029868_Wandsworth Bridge,MX0032BA1,,3103,MX,C010
210200,007/2020,31/10/2020,102.58,MX029876_Nicoll Road,MX0258BA1,,2334,MX,C010
210200,007/2020,31/10/2020,90.95,MX029908_Thornbury Road,MX0118BE1,,335,GN,C010
210200,007/2020,31/10/2020,18.02,MX029914_North End Road,MX0355BA1,,3139,MX,C010
210200,007/2020,31/10/2020,114.85,MX029933_Wandsworth Bridge,MX0032BA1,,3103,MX,C010
210200,007/2020,31/10/2020,18.02,MX029951_Townmead Road,MX0032BB1,,3016,MX,C010
200119,007/2020,31/10/2020,101.93,MX029964_Townmead Road,MX0032BB1,,3016,MX,C010
200119,007/2020,31/10/2020,294.20,MX029995_Town Meadow,MX0307BA1,,2733,MX,C010
210200,007/2020,31/10/2020,18.02,MX030027_Haydock Avenue,MX0393BA1,,3522,MX,C010
200119,007/2020,31/10/2020,144.24,MX030051_Haydock Avenue,MX0393BA1,,3522,MX,C010
200119,007/2020,31/10/2020,109.58,MX030057_Hampton Road West,MX0072EA1,,1000353,MX,C010
210200,007/2020,31/10/2020,113.30,MX030061_Town Meadow,MX0307BA1,,2733,MX,C010
200106,007/2020,31/10/2020,48.43,MX030073_Blacks Road,MX0019BA1,,1000099,MX,C010
210200,007/2020,31/10/2020,164.69,MX030125_York Road,MX0068BA1,,1000289,MX,C010
200119,007/2020,31/10/2020,150.24,MX030143_Wandsworth Bridge,MX0032EB1,,1000190,MX,C010
200119,007/2020,31/10/2020,24.38,MX030144_Blumenthal Close,MX0118EA1,,3778,MX,C010
200119,007/2020,31/10/2020,37.64,MX030158_Holland Gardens,MX0292BA1,,2631,MX,C010
200119,007/2020,31/10/2020,18.02,MX030159_Haydock Avenue,MX0393BA1,,3522,MX,C010
200119,007/2020,31/10/2020,46.35,MX030164_Turnpike Way,MX0109BA1,,1242,MX,C010
200106,007/2020,31/10/2020,169.76,MX030173_Holland Gardens,MX0292BA1,,2631,MX,C010
210200,007/2020,31/10/2020,18.02,MX030174_Holland Gardens,MX0292BA1,,2631,MX,C010
200119,007/2020,31/10/2020,12.74,MX030182_Nicoll Road,MX0260BA1,,2336,MX,C010
200106,007/2020,31/10/2020,84.56,MX030185_Nicoll Road,MX0260BA1,,2336,MX,C010
200106,007/2020,31/10/2020,84.56,MX030186_Nicoll Road,MX0259BA1,,2335,MX,C010
200106,007/2020,31/10/2020,67.62,MX030194_North End Road,MX0355BA1,,3139,MX,C010
210200,007/2020,31/10/2020,119.74,MX030195_Acock Grove,MX0014BB1,,3656,MX,C010
